,FIPS,Emp,ind_name
1113,27059,749.0,hospital
1114,27061,849.3333333333334,hospital
1115,27065,,hospital
1116,27067,1120.0,hospital
1117,27069,,hospital
1118,27071,,hospital
1119,27073,,hospital
1120,27075,,hospital
1121,27077,,hospital
1122,27081,,hospital
1123,27083,,hospital
1124,27085,,hospital
1125,27087,,hospital
1126,27089,,hospital
1127,27093,,hospital
1128,27095,,hospital
1129,27097,,hospital
1130,27099,,hospital
1131,27101,,hospital
1132,27103,,hospital
1133,27107,,hospital
1134,27109,10292.5,hospital
1135,27111,1699.75,hospital
1136,27113,,hospital
1137,27115,,hospital
1138,27117,,hospital
1139,27119,679.0,hospital
1140,27121,,hospital
1141,27123,9014.25,hospital
1142,27127,,hospital
1143,27129,,hospital
1144,27135,,hospital
1145,27137,10226.5,hospital
1146,27139,,hospital
1147,27141,498.75,hospital
1148,27145,7358.5,hospital
1149,27147,,hospital
1150,27149,,hospital
1151,27151,268.0,hospital
1152,27153,,hospital
1153,27157,,hospital
1154,27159,,hospital
1155,27163,,hospital
1156,27165,,hospital
1157,27167,,hospital
1158,27169,,hospital
1159,27171,1292.25,hospital
1160,27173,,hospital
1161,28001,450.0,hospital
1162,28003,,hospital
1163,28007,,hospital
1164,28011,366.5,hospital
1165,28013,,hospital
1166,28017,,hospital
1167,28019,,hospital
1168,28021,,hospital
1169,28023,,hospital
1170,28025,,hospital
1171,28027,,hospital
1172,28029,,hospital
1173,28031,,hospital
1174,28033,2102.0,hospital
1175,28035,,hospital
1176,28037,,hospital
1177,28039,,hospital
1178,28043,,hospital
1179,28045,,hospital
1180,28047,4100.0,hospital
1181,28049,13619.0,hospital
1182,28051,,hospital
1183,28059,,hospital
1184,28061,,hospital
1185,28063,,hospital
1186,28065,,hospital
1187,28067,,hospital
1188,28069,,hospital
1189,28071,,hospital
1190,28073,,hospital
1191,28075,3198.0,hospital
