"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=k&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Feb 15 2023 09:48:21 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"East South Central : commercial","cents per kilowatthour","ELEC.PRICE.ESC-COM.A",6.25,6.33,6.52,6.89,7.19,7.90,8.07,9.07,9.26,9.34,9.80,9.87,9.81,10.34,10.24,10.20,10.60,10.52,10.74,10.73,11.07
"Alabama","cents per kilowatthour","ELEC.PRICE.AL-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Alabama : all sectors","cents per kilowatthour","ELEC.PRICE.AL-ALL.A",5.60,5.71,5.88,6.08,6.46,7.07,7.57,8.59,8.83,8.89,9.10,9.18,9.02,9.27,9.33,9.56,9.83,9.63,9.83,9.84,10.18
"Alabama : commercial","cents per kilowatthour","ELEC.PRICE.AL-COM.A",6.53,6.63,6.85,7.12,7.50,8.18,8.70,9.87,10.05,10.18,10.47,10.63,10.51,10.79,10.83,11.11,11.60,11.24,11.52,11.55,11.84
"Kentucky","cents per kilowatthour","ELEC.PRICE.KY-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Kentucky : all sectors","cents per kilowatthour","ELEC.PRICE.KY-ALL.A",4.24,4.26,4.42,4.63,5.01,5.43,5.84,6.26,6.52,6.73,7.17,7.26,7.69,8.15,8.14,8.42,8.57,8.52,8.61,8.58,9.12
"Kentucky : commercial","cents per kilowatthour","ELEC.PRICE.KY-COM.A",5.20,5.30,5.37,5.60,6.01,6.44,6.76,7.29,7.63,7.88,8.49,8.73,8.56,9.44,9.44,9.57,9.85,9.74,10.15,10.34,10.75
"Mississippi","cents per kilowatthour","ELEC.PRICE.MS-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Mississippi : all sectors","cents per kilowatthour","ELEC.PRICE.MS-ALL.A",6.26,6.24,6.46,7.00,7.54,8.33,8.03,8.99,8.85,8.59,8.78,8.60,9.11,9.60,9.53,8.67,9.09,9.24,9.28,9.13,9.50
"Mississippi : commercial","cents per kilowatthour","ELEC.PRICE.MS-COM.A",6.94,6.83,7.25,7.99,8.48,9.37,8.92,10.02,9.50,9.32,9.48,9.33,10.10,10.76,10.55,9.57,10.17,10.43,10.52,10.38,10.81
"Tennessee","cents per kilowatthour","ELEC.PRICE.TN-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Tennessee : all sectors","cents per kilowatthour","ELEC.PRICE.TN-ALL.A",5.59,5.72,5.84,6.14,6.31,6.97,7.07,8.18,8.69,8.61,9.28,9.27,9.13,9.40,9.30,9.23,9.45,9.58,9.69,9.52,9.78
"Tennessee : commercial","cents per kilowatthour","ELEC.PRICE.TN-COM.A",6.31,6.45,6.68,7.05,7.17,8.00,8.09,9.24,9.61,9.66,10.27,10.31,10.00,10.38,10.16,10.19,10.55,10.51,10.65,10.56,10.87
"West South Central","cents per kilowatthour","ELEC.PRICE.WSC-ALL.A",,,,,,,,,,,,,,,,,,,,,
"West South Central : all sectors","cents per kilowatthour","ELEC.PRICE.WSC-ALL.A",7.07,6.33,7.13,7.47,8.48,9.42,9.27,10.13,8.94,8.74,8.54,8.11,8.42,8.65,8.41,8.19,8.26,8.27,8.36,8.17,9.03
