"Price"
"https://www.eia.gov/coal/data/browser/#/topic/23?agg=1,0&geo=vvvvvvvvvvvvo&sec=gs&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Feb 14 2023 17:29:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"Other industrial : New Jersey","$/short ton","COAL.COST.NJ-10.A","--","--","--","--","--","--","--"
"Other industrial : New York","$/short ton","COAL.COST.NY-10.A",106.02,96.38,"W",120.38,"W","W","W"
"Other industrial : Pennsylvania","$/short ton","COAL.COST.PA-10.A",78.86,72.66,"W",81.33,"W","W","W"
"Other industrial : East North Central","$/short ton","COAL.COST.ENC-10.A",72.12,69.17,71.99,72.56,77.98,69.99,71.02
"Other industrial : Illinois","$/short ton","COAL.COST.IL-10.A",45.96,46.39,44.11,45.53,45.22,43.21,35.76
"Other industrial : Indiana","$/short ton","COAL.COST.IN-10.A",87.71,84.62,91.57,92.15,107.49,102.18,102.11
"Other industrial : Michigan","$/short ton","COAL.COST.MI-10.A",83.60,77.71,86.17,86.96,97.61,91.78,87.60
"Other industrial : Ohio","$/short ton","COAL.COST.OH-10.A",87.17,84.29,101.33,99.33,100.50,103.27,104.07
"Other industrial : Wisconsin","$/short ton","COAL.COST.WI-10.A",88.00,77.18,80.48,84.49,84.36,80.66,85.24
"Other industrial : West North Central","$/short ton","COAL.COST.WNC-10.A",36.99,34.79,30.80,28.32,28.84,27.69,28.27
"Other industrial : Iowa","$/short ton","COAL.COST.IA-10.A",45.98,44.50,42.41,39.53,35.74,"W","W"
"Other industrial : Kansas","$/short ton","COAL.COST.KS-10.A","W","W","W","W","W","W","W"
"Other industrial : Minnesota","$/short ton","COAL.COST.MN-10.A",54.98,51.13,60.31,48.04,48.90,49.14,49.46
"Other industrial : Missouri","$/short ton","COAL.COST.MO-10.A",61.58,59.57,49.44,49.57,53.60,50.13,48.22
"Other industrial : Nebraska","$/short ton","COAL.COST.NE-10.A",30.80,29.07,29.67,27.57,24.09,24.28,24.74
"Other industrial : North Dakota","$/short ton","COAL.COST.ND-10.A",28.10,26.85,17.99,17.92,19.42,19.44,20.47
"Other industrial : South Dakota","$/short ton","COAL.COST.SD-10.A","W","W","W","W","W","W","W"
