,FIPS,NERC Region
874,36059,NPCC
875,36061,NPCC
876,36063,NPCC
877,36065,NPCC
878,36067,NPCC
879,36071,NPCC
880,36075,NPCC
881,36081,NPCC
882,36083,NPCC
883,36085,NPCC
884,36087,NPCC
885,36089,NPCC
886,36091,NPCC
887,36103,NPCC
888,36109,NPCC
889,36115,NPCC
890,36119,NPCC
891,36121,NPCC
892,36123,NPCC
893,37007,SERC
894,37019,SERC
895,37021,SERC
896,37023,SERC
897,37027,SERC
898,37035,SERC
899,37041,SERC
900,37045,SERC
901,37049,SERC
902,37051,SERC
903,37055,SERC
904,37057,SERC
905,37065,SERC
906,37071,SERC
907,37081,SERC
908,37083,SERC
909,37095,SERC
910,37097,SERC
911,37109,SERC
912,37119,SERC
913,37129,SERC
914,37145,SERC
915,37153,SERC
916,37155,SERC
917,37157,SERC
918,37159,SERC
919,37161,SERC
920,37167,SERC
921,37169,SERC
922,37179,SERC
923,37183,SERC
924,37191,SERC
925,37195,SERC
926,38053,MRO
927,38055,MRO
928,38057,MRO
929,38059,MRO
930,38065,MRO
931,38093,MRO
932,38097,MRO
933,38105,MRO
934,39007,RFC
935,39011,RFC
936,39017,RFC
937,39019,RFC
938,39025,RFC
939,39031,RFC
940,39033,RFC
941,39035,RFC
942,39037,RFC
943,39039,RFC
944,39049,RFC
945,39051,RFC
946,39053,RFC
947,39061,RFC
948,39069,RFC
949,39081,RFC
950,39085,RFC
951,39087,RFC
952,39093,RFC
953,39095,RFC
954,39101,RFC
955,39103,RFC
956,39109,RFC
957,39111,RFC
958,39113,RFC
959,39119,RFC
960,39123,RFC
961,39129,RFC
962,39139,RFC
963,39143,RFC
964,39145,RFC
965,39149,RFC
966,39153,RFC
967,39155,RFC
968,39157,RFC
969,39161,RFC
970,39163,RFC
971,39167,RFC
972,39169,RFC
973,39171,RFC
974,39173,RFC
975,40015,MRO
976,40017,MRO
977,40023,MRO
978,40031,MRO
979,40055,MRO
980,40059,MRO
981,40071,MRO
982,40073,MRO
983,40079,MRO
984,40083,MRO
985,40087,MRO
986,40097,SERC
987,40101,MRO
988,40103,MRO
989,40107,MRO
990,40109,MRO
991,40113,MRO
992,40119,MRO
993,40121,TRE
994,40131,MRO
995,40133,MRO
996,40143,MRO
997,40145,MRO
998,40153,MRO
999,41009,WECC
1000,41035,WECC
1001,41039,WECC
1002,41045,WECC
1003,41047,WECC
1004,41049,WECC
1005,41059,WECC
1006,42001,RFC
1007,42003,RFC
1008,42005,RFC
1009,42007,RFC
1010,42011,RFC
1011,42015,RFC
1012,42017,RFC
1013,42021,RFC
1014,42025,RFC
1015,42027,RFC
1016,42029,RFC
1017,42033,RFC
1018,42041,RFC
1019,42043,RFC
1020,42045,RFC
1021,42051,RFC
1022,42055,RFC
1023,42063,RFC
1024,42069,RFC
1025,42071,RFC
1026,42073,RFC
1027,42075,RFC
1028,42077,RFC
1029,42079,RFC
1030,42081,RFC
1031,42089,RFC
1032,42091,RFC
1033,42093,RFC
1034,42095,RFC
1035,42097,RFC
1036,42101,RFC
1037,42107,RFC
1038,42109,RFC
1039,42115,RFC
1040,42117,RFC
1041,42121,RFC
1042,42123,RFC
1043,42129,RFC
1044,42131,RFC
1045,42133,RFC
1046,44005,NPCC
1047,44007,NPCC
1048,44009,NPCC
1049,45001,SERC
1050,45003,SERC
1051,45007,SERC
1052,45013,SERC
1053,45015,SERC
1054,45017,SERC
1055,45019,SERC
1056,45021,SERC
1057,45031,SERC
1058,45039,SERC
1059,45043,SERC
1060,45051,SERC
1061,45053,SERC
1062,45063,SERC
1063,45073,SERC
1064,45075,SERC
1065,45079,SERC
1066,45083,SERC
1067,45087,SERC
1068,45091,SERC
1069,46005,MRO
1070,46011,MRO
1071,46013,MRO
1072,46025,MRO
1073,46027,MRO
1074,46029,MRO
1075,46049,MRO
1076,46051,MRO
1077,46077,MRO
1078,46099,MRO
1079,46103,WECC
1080,46117,MRO
1081,46135,MRO
1082,47001,SERC
1083,47037,SERC
1084,47067,SERC
1085,47073,SERC
1086,47075,SERC
1087,47085,SERC
1088,47145,SERC
1089,47157,SERC
1090,47161,SERC
1091,47163,RFC
1092,47165,SERC
1093,47177,SERC
1094,47179,SERC
1095,47183,SERC
1096,48013,TRE
1097,48021,TRE
1098,48027,TRE
1099,48029,TRE
1100,48035,TRE
1101,48039,TRE
1102,48041,TRE
1103,48057,TRE
1104,48061,TRE
1105,48071,TRE
1106,48073,TRE
1107,48085,TRE
1108,48089,TRE
1109,48113,TRE
1110,48121,TRE
1111,48135,TRE
1112,48139,TRE
1113,48141,WECC
1114,48149,TRE
1115,48157,TRE
1116,48161,TRE
1117,48163,TRE
1118,48167,TRE
1119,48175,TRE
1120,48181,TRE
1121,48183,MRO
1122,48185,SERC
1123,48187,TRE
1124,48189,MRO
1125,48199,SERC
1126,48201,TRE
1127,48203,MRO
1128,48209,TRE
1129,48213,TRE
1130,48215,TRE
1131,48221,TRE
1132,48227,TRE
1133,48231,TRE
1134,48233,MRO
1135,48245,SERC
1136,48251,TRE
1137,48257,TRE
1138,48277,TRE
1139,48279,MRO
1140,48293,TRE
1141,48299,TRE
1142,48303,MRO
1143,48309,TRE
1144,48315,MRO
1145,48335,TRE
1146,48339,SERC
1147,48343,MRO
1148,48351,SERC
1149,48355,TRE
1150,48361,SERC
1151,48363,TRE
1152,48375,MRO
1153,48395,TRE
1154,48401,TRE
1155,48407,SERC
1156,48409,TRE
1157,48439,TRE
1158,48449,MRO
1159,48453,TRE
1160,48469,TRE
1161,48475,TRE
1162,48479,TRE
1163,48481,TRE
1164,48485,TRE
1165,48487,TRE
1166,48497,TRE
1167,48501,MRO
1168,48503,TRE
1169,49001,WECC
1170,49005,WECC
1171,49007,WECC
1172,49011,WECC
1173,49015,WECC
1174,49023,WECC
1175,49027,WECC
1176,49035,WECC
1177,49047,WECC
1178,49049,WECC
1179,49051,WECC
1180,49053,WECC
1181,50001,NPCC
1182,50007,NPCC
1183,50011,NPCC
1184,50021,NPCC
1185,50023,NPCC
1186,50027,NPCC
1187,51001,RFC
1188,51005,SERC
1189,51007,SERC
1190,51019,RFC
1191,51025,SERC
1192,51027,RFC
1193,51029,SERC
1194,51031,SERC
1195,51033,SERC
1196,51036,SERC
1197,51041,SERC
1198,51047,SERC
1199,51053,SERC
1200,51059,SERC
1201,51061,SERC
1202,51065,SERC
1203,51075,SERC
1204,51081,SERC
1205,51083,SERC
1206,51085,SERC
1207,51087,SERC
1208,51089,RFC
1209,51091,SERC
1210,51097,SERC
1211,51099,SERC
1212,51107,SERC
1213,51109,SERC
1214,51121,RFC
1215,51131,RFC
1216,51149,SERC
1217,51153,SERC
1218,51155,SERC
1219,51159,SERC
1220,51165,SERC
1221,51167,RFC
1222,51175,SERC
1223,51181,SERC
1224,51187,SERC
1225,51191,RFC
1226,51195,RFC
1227,51199,SERC
1228,51520,RFC
1229,51550,SERC
1230,51590,RFC
1231,51670,SERC
1232,51760,SERC
1233,51775,RFC
1234,51810,SERC
1235,53011,WECC
1236,53015,WECC
1237,53027,WECC
1238,53033,WECC
1239,53039,WECC
1240,53041,WECC
1241,53053,WECC
1242,53057,WECC
1243,53063,WECC
1244,53065,WECC
1245,53073,WECC
1246,54023,RFC
1247,54033,RFC
1248,54049,RFC
1249,54051,RFC
1250,54053,RFC
1251,54061,RFC
1252,54073,RFC
1253,54079,RFC
1254,54099,RFC
1255,55003,MRO
