,County,State,FIPS,TotalOil (bbl),TotalGas (mcf),em_gas_county (lbCO2e),em_oil_county (lbCO2e),em_total_county (lbCO2e),annual_avg_emplvl
63,BOSSIER,LA,22015,1099842.561,481274673.5,57319645165.08956,1072813984.1520174,58392459149.24158,85
64,BOTTINEAU,ND,38009,1210942,183850,22925883.57,1201506943.8014548,1224432827.3739548,9.25
65,BOULDER,CO,08013,29976,399915,50242141.275750004,28981602.776427183,79223744.05217719,25.25
66,BOURBON,KS,20011,193303.66999999998,0,0,181775639.4590059,181775639.4590059,
67,BOWIE,TX,48037,26898,8566,1021206.826,25192575.877455574,26213782.703255575,
68,BOWMAN,ND,38011,4268154,6180341,770681415.3,4234898672.4500055,5005580087.757855,68.75
69,BRADFORD,PA,42015,0,936657439.6,113413011764.27658,0,113413011764.27658,
70,BRADLEY,AR,05011,5516,0,0,5380444.5703193825,5380444.5703193825,
71,BRAXTON,WV,54007,14977,1086152,137722498.7,14471373.737018583,152193872.4166186,
72,BRAZORIA,TX,48039,10997383,8559608,1020444795.2104001,10557207888.207872,11577652683.418272,791.5
73,BRAZOS,TX,48041,9521736,14978786,1785715445.4118001,8918025751.546595,10703741196.958395,51.5
74,BROOKE,WV,54009,3109020,84112863,10665389064.748652,3004058915.3946395,13669447980.143291,
75,BROOKS,TX,48047,311095,10772802,1284293595.0726001,291370525.4,1575664120.487019,
76,BROOMFIELD,CO,08014,28074040,92754264,11652908332.561201,27142736709.68534,38795645042.246544,
77,BROWN,KS,20013,7315.32,0,0,6879057.034184891,6879057.034184891,0
78,BROWN,TX,48049,66325,526809,62804219.79,62119770.80348877,124923990.59018877,
79,BRYAN,OK,40013,14247,1379308,165884062.8,13397353.166509755,179281415.99070975,
80,BUCHANAN,VA,51027,0,23504975,2876206245,0,2876206245,
81,BURKE,ND,38013,3336207,9143943,1140239177,3310212938.736141,4450452115.301691,41.66666666666666
82,BURLESON,TX,48051,15437999,14121422,1683503681.5786002,14459177678.771034,16142681360.349634,149.25
83,BUTLER,KS,20015,1453730.76,0,0,1367034772.2845957,1367034772.2845957,6
84,BUTLER,PA,42019,5626.649945,249561110.73038852,30217533102.234417,5436693.212283131,30222969795,76
85,CABELL,WV,54011,10537,573474,72715671.66,10181268.950187944,82896940.61288795,8.25
86,CADDO,LA,22017,1700502.86,1034397465,123196376051.91522,1658728691.9694655,124855104743.88469,305.5
87,CADDO,OK,40015,2323782,33517019.67,4030962915.1851707,2185198858.4248176,6216161773.609988,15.75
88,CALCASIEU,LA,22019,867074.5325,2690043.938,320383291.4408719,838165498.5669951,1158548790.007867,43
89,CALDWELL,LA,22021,0,45995,5477988.402,0,5477988.402,0
90,CALHOUN,AR,05013,3589,0,0,3500800.5008840216,3500800.5008840216,
91,CALHOUN,MI,26025,196394,39142,4835303.244,189180169.57052094,194015472.81422094,
92,CALHOUN,TX,48057,101408,409496,48818597.98,97349100.01110119,146167697.9959012,
93,CALHOUN,WV,54013,50223,1426313,180854420.24615002,48527462.321845785,229381882.5679958,21.5
94,CALLAHAN,TX,48059,99183,383944,45772383.09,92894462.53452584,138666845.62172586,6
95,CAMBRIA,PA,42021,1.110223e-15,405062.36066489003,49046044.29767868,1.2872900018241823e-12,49046044.29767868,
96,CAMERON,LA,22023,3056391.345,22140977.82,2636982709.5890594,2954488546.7371097,5591471256.326169,
97,CAMERON,PA,42023,0,36466819.77,4415500998.169641,0,4415500998.169641,
98,CAMERON,TX,48061,780,27759,3309325.2717000004,748780.1554971888,4058105.427197189,
99,CAMP,TX,48063,58010,34373,4097821.88,54331969.91044679,58429791.790346794,
100,CAMPBELL,WY,56005,19359327,83120624,10413526328.030401,18717117865.391037,29130644193.42144,260.75
101,CANADIAN,OK,40017,8480999,169026744.7,20328195833.30457,7975218558.841586,28303414392.146156,92.25
102,CARBON,MT,30009,308385,1157446,144737233.4,298154909.6680176,442892143.0328176,
103,CARBON,UT,49007,34848,35475324,4312000799,33691983.37179525,4345692782.8449955,123
104,CARBON,WY,56007,1349219,72255717,9052347962.765701,1304461206.178553,10356809168.944254,57.5
105,CARROLL,OH,39019,1865538.997,82759274,10310332425.469072,1797015101.3458066,12107347526.814878,
106,CARSON,TX,48065,95571,6001662,715495937.5,89511475.54406671,805007413.0346667,168.75
107,CARTER,MT,30011,9399,0,0,9087205.914586306,9087205.914586306,
108,CARTER,OK,40019,23259727,13490490,1622449294,21872589118.80413,23495038412.717632,379.75
109,CASS,MI,26027,63,0,0,60685.92056245517,60685.92056245517,
110,CASS,TX,48067,394541,354270,42234758.6,369525766.94427836,411760525.5452784,
111,CATAHOULA,LA,22025,164298,27583,3285125.6459500003,160260384.70165586,163545510.34760585,
112,CENTRE,PA,42027,137.00000200000005,3521946.1,426446743.0912809,132374.85684144316,426579117.9481223,11.333333333333334
113,CHAMBERS,TX,48071,5098761,4017239,478920369.8,4894680839.003848,5373601208.799548,67.25
114,CHARLEVOIX,MI,26029,0,193274,23875591.41,0,23875591.41,
115,CHASE,KS,20017,47169.66,28365,3417966.8992500002,44356607.97109487,47774574.87034487,
116,CHASE,NE,31029,19160,0,0,18017357.10467656,18017357.10467656,
117,CHAUTAUQUA,KS,20019,283102.3,58694,7072594.718,266218958.0509016,273291552.7692016,14
118,CHAVES,NM,35005,1277751,8895680,1066736142,1203367377.5010376,2270103519.5170374,198.25
119,CHEROKEE,OK,40021,328,50042,6018358.678300001,308439.0986604338,6326797.776960434,
120,CHEROKEE,TX,48073,319674,17610525,2099461631.5575001,299405587.81506926,2398867219.3725696,
121,CHEYENNE,CO,08017,748447,7319152,919520070.0216001,723618683.3869962,1643138753.4085963,17
122,CHEYENNE,KS,20023,312800.89,1422707,171435411,294146416.3773826,465581827.3885326,
123,CHEYENNE,NE,31033,192663,289801,36070240.86,181173177.02809498,217243417.88364497,
124,CHILDRESS,TX,48075,1565,0,0,1465773.7098750083,1465773.7098750083,
