,FIPS,MSA,unemp_qual_status_21,ffe_qual_status_21,ec_ffe_status_21,unemp_qual_status_22,ffe_qual_status_22,ec_ffe_status_22
2349,42045,37980,1.0,0.0,0.0,1.0,0.0,0.0
2350,42047,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2351,42049,21500,1.0,0.0,0.0,1.0,0.0,0.0
2352,42051,38300,1.0,1.0,1.0,1.0,1.0,1.0
2353,42053,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2354,42055,16540,0.0,0.0,0.0,1.0,0.0,0.0
2355,42057,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2356,42059,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2357,42061,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2358,42063,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2359,42065,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2360,42067,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2361,42069,42540,1.0,1.0,1.0,1.0,1.0,1.0
2362,42071,29540,0.0,0.0,0.0,0.0,0.0,0.0
2363,42073,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2364,42075,30140,0.0,0.0,0.0,1.0,0.0,0.0
2365,42077,10900,1.0,0.0,0.0,1.0,0.0,0.0
2366,42079,42540,1.0,1.0,1.0,1.0,1.0,1.0
2367,42081,48700,1.0,1.0,1.0,1.0,1.0,1.0
2368,42083,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2369,42085,49660,1.0,1.0,1.0,1.0,1.0,1.0
2370,42087,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2371,42089,20700,1.0,0.0,0.0,1.0,0.0,0.0
2373,42091,37980,1.0,0.0,0.0,1.0,0.0,0.0
2374,42093,14100,0.0,0.0,0.0,1.0,0.0,0.0
2375,42095,10900,1.0,0.0,0.0,1.0,0.0,0.0
2376,42097,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2377,42099,25420,0.0,0.0,0.0,1.0,0.0,0.0
2378,42101,37980,1.0,0.0,0.0,1.0,0.0,0.0
2379,42103,35620,1.0,0.0,0.0,1.0,0.0,0.0
2380,42105,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2381,42107,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2382,42109,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2383,42111,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2384,42113,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2385,42115,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2386,42117,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2387,42119,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2388,42121,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2389,42123,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2390,42125,38300,1.0,1.0,1.0,1.0,1.0,1.0
2391,42127,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2392,42129,38300,1.0,1.0,1.0,1.0,1.0,1.0
2393,42131,42540,1.0,1.0,1.0,1.0,1.0,1.0
2394,42133,49620,0.0,0.0,0.0,1.0,0.0,0.0
2395,44001,39300,1.0,0.0,0.0,1.0,0.0,0.0
2396,44003,39300,1.0,0.0,0.0,1.0,0.0,0.0
2398,44005,39300,1.0,0.0,0.0,1.0,0.0,0.0
2399,44007,39300,1.0,0.0,0.0,1.0,0.0,0.0
2400,44009,39300,1.0,0.0,0.0,1.0,0.0,0.0
2401,45001,4500002,0.0,0.0,0.0,0.0,0.0,0.0
2402,45003,12260,0.0,0.0,0.0,0.0,0.0,0.0
2403,45005,4500004,1.0,0.0,0.0,1.0,0.0,0.0
2404,45007,24860,0.0,0.0,0.0,0.0,0.0,0.0
2405,45009,4500004,1.0,0.0,0.0,1.0,0.0,0.0
2406,45011,4500004,1.0,0.0,0.0,1.0,0.0,0.0
2407,45013,25940,0.0,0.0,0.0,0.0,0.0,0.0
2408,45015,16700,0.0,0.0,0.0,0.0,0.0,0.0
2409,45017,17900,0.0,0.0,0.0,0.0,0.0,0.0
2410,45019,16700,0.0,0.0,0.0,0.0,0.0,0.0
2411,45021,4500002,0.0,0.0,0.0,0.0,0.0,0.0
2412,45023,16740,0.0,0.0,0.0,0.0,0.0,0.0
2413,45025,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2414,45027,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2415,45029,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2416,45031,22500,0.0,0.0,0.0,0.0,0.0,0.0
2417,45033,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2418,45035,16700,0.0,0.0,0.0,0.0,0.0,0.0
2419,45037,12260,0.0,0.0,0.0,0.0,0.0,0.0
2420,45039,17900,0.0,0.0,0.0,0.0,0.0,0.0
2421,45041,22500,0.0,0.0,0.0,0.0,0.0,0.0
2422,45043,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2424,45045,24860,0.0,0.0,0.0,0.0,0.0,0.0
2425,45047,4500002,0.0,0.0,0.0,0.0,0.0,0.0
2426,45049,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2427,45051,34820,0.0,0.0,0.0,1.0,0.0,0.0
2428,45053,25940,0.0,0.0,0.0,0.0,0.0,0.0
2429,45055,17900,0.0,0.0,0.0,0.0,0.0,0.0
2430,45057,16740,0.0,0.0,0.0,0.0,0.0,0.0
2431,45059,24860,0.0,0.0,0.0,0.0,0.0,0.0
2432,45061,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2433,45063,17900,0.0,0.0,0.0,0.0,0.0,0.0
2434,45065,4500002,0.0,0.0,0.0,0.0,0.0,0.0
2435,45067,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2436,45069,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2437,45071,4500004,1.0,0.0,0.0,1.0,0.0,0.0
2438,45073,4500002,0.0,0.0,0.0,0.0,0.0,0.0
2439,45075,4500004,1.0,0.0,0.0,1.0,0.0,0.0
2440,45077,24860,0.0,0.0,0.0,0.0,0.0,0.0
2441,45079,17900,0.0,0.0,0.0,0.0,0.0,0.0
2442,45081,17900,0.0,0.0,0.0,0.0,0.0,0.0
2443,45083,43900,0.0,0.0,0.0,0.0,0.0,0.0
2444,45085,44940,0.0,0.0,0.0,1.0,0.0,0.0
2445,45087,43900,0.0,0.0,0.0,0.0,0.0,0.0
2446,45089,4500006,0.0,0.0,0.0,1.0,0.0,0.0
2447,45091,16740,0.0,0.0,0.0,0.0,0.0,0.0
2448,46003,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2449,46005,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2451,46007,4600003,0.0,1.0,0.0,0.0,1.0,0.0
2452,46009,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2453,46011,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2454,46013,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2455,46015,4600003,0.0,1.0,0.0,0.0,1.0,0.0
2456,46017,4600003,0.0,1.0,0.0,0.0,1.0,0.0
2457,46019,4600003,0.0,1.0,0.0,0.0,1.0,0.0
2458,46021,4600003,0.0,1.0,0.0,0.0,1.0,0.0
2459,46023,4600003,0.0,1.0,0.0,0.0,1.0,0.0
2460,46025,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2461,46027,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2462,46029,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2463,46031,4600003,0.0,1.0,0.0,0.0,1.0,0.0
2464,46033,39660,0.0,0.0,0.0,0.0,0.0,0.0
2465,46035,4600002,0.0,0.0,0.0,0.0,0.0,0.0
2466,46037,4600002,0.0,0.0,0.0,0.0,0.0,0.0
